activity_id,tenant_id,activity_type,activity_date,outcome,days_to_renewal
act_00095,ten_011,call_completed,2024-03-27,neutral,258
act_00096,ten_011,email_sent,2024-05-20,positive,204
act_00097,ten_011,call_completed,2024-05-10,no_response,214
act_00098,ten_011,qbr_completed,2024-04-11,neutral,243
act_00099,ten_012,email_sent,2024-02-14,positive,130
act_00100,ten_012,meeting_held,2024-05-24,neutral,30
act_00101,ten_013,meeting_held,2024-01-24,no_response,95
act_00102,ten_013,support_ticket,2024-01-09,neutral,110
act_00103,ten_013,meeting_held,2024-01-28,no_response,91
act_00104,ten_013,email_sent,2024-01-04,negative,115
act_00105,ten_013,support_ticket,2024-01-02,no_response,117
act_00106,ten_014,meeting_held,2024-04-28,neutral,159
act_00107,ten_014,qbr_completed,2024-02-08,no_response,239
act_00108,ten_014,call_completed,2024-03-18,no_response,200
act_00109,ten_014,email_sent,2024-02-29,positive,218
act_00110,ten_014,call_completed,2024-03-14,neutral,204
act_00111,ten_015,qbr_completed,2024-04-14,negative,-54
act_00112,ten_015,email_sent,2024-05-16,no_response,-86
act_00113,ten_015,email_sent,2024-03-17,positive,-26
act_00114,ten_015,qbr_completed,2024-05-12,no_response,-82
act_00115,ten_015,support_ticket,2024-01-31,positive,20
act_00116,ten_015,email_sent,2024-05-22,neutral,-92
act_00117,ten_015,qbr_completed,2024-02-17,positive,3
act_00118,ten_015,support_ticket,2024-04-25,positive,-65
act_00119,ten_015,support_ticket,2024-01-19,negative,32
act_00120,ten_015,qbr_completed,2024-05-15,positive,-85
act_00121,ten_015,meeting_held,2024-06-08,negative,-109
act_00122,ten_016,meeting_held,2024-07-03,neutral,151
act_00123,ten_016,meeting_held,2024-07-19,negative,135
act_00124,ten_016,qbr_completed,2024-04-28,neutral,217
act_00125,ten_016,qbr_completed,2024-05-18,negative,197
act_00126,ten_016,email_sent,2024-04-26,negative,219
act_00127,ten_016,email_sent,2024-05-27,neutral,188
act_00128,ten_016,support_ticket,2024-04-11,no_response,234
act_00129,ten_016,meeting_held,2024-08-19,no_response,104
act_00130,ten_016,meeting_held,2024-08-06,no_response,117
act_00131,ten_016,email_sent,2024-07-02,neutral,152
act_00132,ten_016,email_sent,2024-03-21,neutral,255
act_00133,ten_016,meeting_held,2024-06-26,positive,158
act_00134,ten_016,support_ticket,2024-01-18,neutral,318
act_00135,ten_016,call_completed,2024-07-20,neutral,134
act_00136,ten_016,call_completed,2024-08-01,neutral,122
act_00137,ten_016,call_completed,2024-08-25,positive,98
act_00138,ten_016,email_sent,2024-08-07,negative,116
act_00139,ten_017,qbr_completed,2024-04-23,positive,117
act_00140,ten_017,qbr_completed,2024-03-22,neutral,149
act_00141,ten_017,call_completed,2024-03-03,neutral,168
act_00142,ten_018,support_ticket,2024-02-12,neutral,240
act_00143,ten_018,support_ticket,2024-06-23,negative,108
act_00144,ten_018,qbr_completed,2024-03-25,neutral,198
act_00145,ten_018,support_ticket,2024-04-27,negative,165
act_00146,ten_018,meeting_held,2024-04-06,neutral,186
act_00147,ten_018,meeting_held,2024-06-23,no_response,108
act_00148,ten_018,meeting_held,2024-01-17,neutral,266
act_00149,ten_018,email_sent,2024-05-22,positive,140
act_00150,ten_018,qbr_completed,2024-05-10,neutral,152
act_00151,ten_019,meeting_held,2024-02-22,neutral,58
act_00152,ten_019,support_ticket,2024-03-13,positive,38
act_00153,ten_020,qbr_completed,2024-02-02,positive,201
act_00154,ten_020,qbr_completed,2024-02-02,positive,201
act_00155,ten_020,qbr_completed,2024-02-27,negative,176
act_00156,ten_020,email_sent,2024-01-20,neutral,214
act_00157,ten_020,qbr_completed,2024-05-27,no_response,86
act_00158,ten_020,meeting_held,2024-06-16,negative,66
act_00159,ten_020,qbr_completed,2024-06-19,no_response,63
act_00160,ten_020,meeting_held,2024-04-23,neutral,120
act_00161,ten_020,qbr_completed,2024-06-04,neutral,78
act_00162,ten_020,support_ticket,2024-01-03,positive,231
act_00163,ten_020,support_ticket,2024-05-31,no_response,82
act_00164,ten_020,call_completed,2024-06-01,positive,81
act_00165,ten_020,email_sent,2024-02-15,positive,188
act_00166,ten_020,meeting_held,2024-03-25,no_response,149
act_00167,ten_020,qbr_completed,2024-01-19,positive,215
act_00168,ten_020,call_completed,2024-01-12,positive,222
act_00169,ten_020,qbr_completed,2024-04-29,neutral,114
act_00170,ten_020,support_ticket,2024-06-07,positive,75
act_00171,ten_020,meeting_held,2024-05-05,neutral,108
act_00172,ten_021,support_ticket,2024-01-20,neutral,259
act_00173,ten_021,call_completed,2024-03-15,positive,204
act_00174,ten_021,call_completed,2024-02-21,positive,227
act_00175,ten_022,qbr_completed,2024-05-14,neutral,-53
act_00176,ten_023,meeting_held,2024-02-22,negative,69
act_00177,ten_023,qbr_completed,2024-01-29,negative,93
act_00178,ten_023,email_sent,2024-02-02,no_response,89
act_00179,ten_023,email_sent,2024-02-08,neutral,83
act_00180,ten_023,email_sent,2024-01-03,neutral,119
act_00181,ten_023,call_completed,2024-03-04,negative,58
act_00182,ten_023,email_sent,2024-01-03,no_response,119
act_00183,ten_023,call_completed,2024-01-30,neutral,92
act_00184,ten_023,qbr_completed,2024-01-22,no_response,100
act_00185,ten_023,email_sent,2024-01-13,positive,109
act_00186,ten_023,email_sent,2024-02-10,positive,81
act_00187,ten_023,qbr_completed,2024-03-22,no_response,40
act_00188,ten_024,qbr_completed,2024-02-18,negative,251
act_00189,ten_024,support_ticket,2024-01-18,positive,282
act_00190,ten_024,call_completed,2024-04-06,negative,203
act_00191,ten_024,email_sent,2024-06-04,negative,144
act_00192,ten_024,email_sent,2024-05-05,neutral,174
act_00193,ten_025,email_sent,2024-06-16,positive,-31
act_00194,ten_025,support_ticket,2024-02-13,neutral,93
act_00195,ten_025,qbr_completed,2024-03-15,positive,62
act_00196,ten_025,email_sent,2024-03-31,neutral,46
act_00197,ten_025,meeting_held,2024-01-10,positive,127
act_00198,ten_025,qbr_completed,2024-01-27,positive,110
act_00199,ten_025,email_sent,2024-03-06,negative,71
act_00200,ten_025,email_sent,2024-04-03,positive,43
act_00201,ten_025,support_ticket,2024-05-26,positive,-10
act_00202,ten_025,qbr_completed,2024-06-01,positive,-16
act_00203,ten_025,support_ticket,2024-03-28,positive,49
act_00204,ten_026,support_ticket,2024-06-04,positive,134
act_00205,ten_026,call_completed,2024-02-18,negative,241
act_00206,ten_026,support_ticket,2024-05-29,neutral,140
act_00207,ten_026,meeting_held,2024-04-25,positive,174
act_00208,ten_026,call_completed,2024-01-13,positive,277
act_00209,ten_027,call_completed,2024-04-10,neutral,-64
act_00210,ten_027,support_ticket,2024-04-26,positive,-80
act_00211,ten_027,qbr_completed,2024-01-08,no_response,29
act_00212,ten_028,meeting_held,2024-03-11,neutral,244
act_00213,ten_028,call_completed,2024-05-07,neutral,187
act_00214,ten_028,qbr_completed,2024-05-10,negative,184
act_00215,ten_028,meeting_held,2024-03-03,positive,252
act_00216,ten_028,support_ticket,2024-06-27,neutral,136
act_00217,ten_028,email_sent,2024-05-14,neutral,180
act_00218,ten_028,call_completed,2024-04-10,no_response,214
act_00219,ten_028,support_ticket,2024-02-04,neutral,280
act_00220,ten_028,email_sent,2024-01-24,positive,291
act_00221,ten_028,call_completed,2024-04-13,negative,211
act_00222,ten_028,email_sent,2024-05-09,neutral,185
act_00223,ten_028,qbr_completed,2024-02-10,neutral,274
act_00224,ten_028,qbr_completed,2024-02-20,positive,264
act_00225,ten_028,email_sent,2024-05-26,neutral,168
act_00226,ten_028,support_ticket,2024-05-23,no_response,171
act_00227,ten_028,meeting_held,2024-03-16,neutral,239
act_00228,ten_028,support_ticket,2024-02-29,neutral,255
act_00229,ten_028,qbr_completed,2024-03-11,neutral,244
act_00230,ten_029,support_ticket,2024-01-11,positive,59
act_00231,ten_029,support_ticket,2024-06-11,positive,-93
act_00232,ten_029,meeting_held,2024-02-06,neutral,33
act_00233,ten_029,email_sent,2024-05-26,no_response,-77
act_00234,ten_029,support_ticket,2024-04-24,positive,-45
act_00235,ten_029,support_ticket,2024-03-16,positive,-6
act_00236,ten_029,call_completed,2024-04-08,positive,-29
act_00237,ten_029,call_completed,2024-06-20,positive,-102
act_00238,ten_029,support_ticket,2024-01-12,positive,58
act_00239,ten_029,call_completed,2024-02-16,neutral,23
act_00240,ten_029,meeting_held,2024-03-01,positive,9
act_00241,ten_029,meeting_held,2024-06-29,positive,-111
act_00242,ten_029,qbr_completed,2024-04-17,negative,-38
act_00243,ten_029,qbr_completed,2024-06-27,neutral,-109
act_00244,ten_030,qbr_completed,2024-02-05,positive,141
act_00245,ten_031,meeting_held,2024-03-04,neutral,-15
act_00246,ten_031,meeting_held,2024-06-03,positive,-106
act_00247,ten_031,call_completed,2024-02-10,positive,8
act_00248,ten_031,support_ticket,2024-01-02,positive,47
act_00249,ten_031,meeting_held,2024-04-30,positive,-72
act_00250,ten_031,qbr_completed,2024-02-06,positive,12
act_00251,ten_031,meeting_held,2024-02-27,negative,-9
act_00252,ten_031,meeting_held,2024-02-14,positive,4
act_00253,ten_031,qbr_completed,2024-01-17,no_response,32
act_00254,ten_031,call_completed,2024-06-28,positive,-131
act_00255,ten_031,email_sent,2024-06-20,positive,-123
act_00256,ten_032,meeting_held,2024-02-25,positive,80
act_00257,ten_032,support_ticket,2024-01-10,negative,126
act_00258,ten_032,support_ticket,2024-02-22,neutral,83
act_00259,ten_032,email_sent,2024-02-15,neutral,90
act_00260,ten_033,call_completed,2024-06-13,neutral,190
act_00261,ten_033,qbr_completed,2024-04-12,neutral,252
act_00262,ten_033,meeting_held,2024-04-30,no_response,234
act_00263,ten_033,qbr_completed,2024-05-12,positive,222
act_00264,ten_033,qbr_completed,2024-06-19,positive,184
act_00265,ten_033,email_sent,2024-04-20,neutral,244
act_00266,ten_033,email_sent,2024-04-25,neutral,239
act_00267,ten_033,support_ticket,2024-03-07,no_response,288
act_00268,ten_033,email_sent,2024-02-15,positive,309
act_00269,ten_033,support_ticket,2024-01-29,no_response,326
act_00270,ten_033,email_sent,2024-06-11,positive,192
act_00271,ten_034,email_sent,2024-06-21,positive,15
act_00272,ten_034,qbr_completed,2024-02-01,positive,156
act_00273,ten_034,support_ticket,2024-04-01,neutral,96
act_00274,ten_034,support_ticket,2024-01-29,no_response,159
act_00275,ten_034,support_ticket,2024-04-21,positive,76
act_00276,ten_034,qbr_completed,2024-05-26,positive,41
act_00277,ten_034,email_sent,2024-01-09,positive,179
act_00278,ten_034,meeting_held,2024-04-03,positive,94
act_00279,ten_035,meeting_held,2024-05-11,no_response,51
act_00280,ten_035,email_sent,2024-05-23,neutral,39
act_00281,ten_036,email_sent,2024-03-15,neutral,10
act_00282,ten_036,qbr_completed,2024-04-02,positive,-8
act_00283,ten_036,email_sent,2024-04-24,neutral,-30
act_00284,ten_036,meeting_held,2024-02-15,neutral,39
act_00285,ten_036,support_ticket,2024-03-30,no_response,-5
act_00286,ten_036,qbr_completed,2024-03-16,no_response,9
act_00287,ten_036,call_completed,2024-02-19,positive,35
act_00288,ten_036,support_ticket,2024-06-22,no_response,-89
act_00289,ten_036,support_ticket,2024-03-03,positive,22
act_00290,ten_036,email_sent,2024-01-23,neutral,62
act_00291,ten_036,email_sent,2024-01-05,no_response,80
act_00292,ten_036,call_completed,2024-02-15,no_response,39
act_00293,ten_036,qbr_completed,2024-03-13,positive,12
act_00294,ten_037,call_completed,2024-04-19,positive,102
act_00295,ten_037,email_sent,2024-01-13,neutral,199
act_00296,ten_037,qbr_completed,2024-04-21,no_response,100
act_00297,ten_038,support_ticket,2024-04-19,positive,132
act_00298,ten_038,qbr_completed,2024-04-07,neutral,144
act_00299,ten_038,call_completed,2024-02-13,positive,198
act_00300,ten_038,call_completed,2024-06-12,positive,78
act_00301,ten_039,call_completed,2024-05-10,negative,75
act_00302,ten_040,support_ticket,2024-03-27,positive,262
act_00303,ten_040,email_sent,2024-04-19,neutral,239
act_00304,ten_040,call_completed,2024-06-12,positive,185
act_00305,ten_040,qbr_completed,2024-04-28,negative,230
act_00306,ten_040,email_sent,2024-05-21,no_response,207
act_00307,ten_041,email_sent,2024-04-07,negative,201
act_00308,ten_041,call_completed,2024-06-11,neutral,136
act_00309,ten_041,qbr_completed,2024-03-26,neutral,213
act_00310,ten_041,support_ticket,2024-03-25,neutral,214
act_00311,ten_041,call_completed,2024-01-13,neutral,286
act_00312,ten_041,meeting_held,2024-05-09,neutral,169
act_00313,ten_041,email_sent,2024-01-03,neutral,296
act_00314,ten_041,call_completed,2024-07-12,neutral,105
act_00315,ten_041,meeting_held,2024-03-26,no_response,213
act_00316,ten_041,email_sent,2024-04-03,no_response,205
act_00317,ten_041,email_sent,2024-07-04,no_response,113
act_00318,ten_041,qbr_completed,2024-05-25,neutral,153
act_00319,ten_042,meeting_held,2024-05-27,positive,-87
act_00320,ten_042,support_ticket,2024-02-13,positive,17
act_00321,ten_042,email_sent,2024-06-26,neutral,-117
act_00322,ten_042,support_ticket,2024-03-11,neutral,-10
act_00323,ten_042,qbr_completed,2024-06-09,neutral,-100
act_00324,ten_042,qbr_completed,2024-02-03,neutral,27
act_00325,ten_042,meeting_held,2024-05-22,neutral,-82
act_00326,ten_042,email_sent,2024-03-02,positive,-1
act_00327,ten_042,meeting_held,2024-03-04,no_response,-3
act_00328,ten_042,qbr_completed,2024-03-06,neutral,-5
act_00329,ten_042,qbr_completed,2024-05-15,neutral,-75
act_00330,ten_042,meeting_held,2024-04-08,neutral,-38
act_00331,ten_043,support_ticket,2024-06-18,neutral,107
act_00332,ten_043,call_completed,2024-04-02,neutral,184
act_00333,ten_043,support_ticket,2024-02-05,negative,241
act_00334,ten_043,email_sent,2024-01-06,positive,271
act_00335,ten_043,email_sent,2024-06-05,neutral,120
act_00336,ten_044,meeting_held,2024-06-18,positive,151
act_00337,ten_045,call_completed,2024-03-09,neutral,100
act_00338,ten_045,support_ticket,2024-03-09,negative,100
act_00339,ten_045,qbr_completed,2024-01-31,neutral,138
act_00340,ten_045,qbr_completed,2024-03-05,neutral,104
act_00341,ten_045,support_ticket,2024-01-10,neutral,159
act_00342,ten_045,email_sent,2024-01-27,neutral,142
act_00343,ten_045,call_completed,2024-01-21,neutral,148
act_00344,ten_046,email_sent,2024-05-24,positive,172
act_00345,ten_046,call_completed,2024-01-10,neutral,307
act_00346,ten_046,call_completed,2024-02-06,no_response,280
act_00347,ten_046,qbr_completed,2024-05-17,negative,179
act_00348,ten_046,call_completed,2024-01-15,negative,302
act_00349,ten_046,call_completed,2024-05-01,negative,195
act_00350,ten_047,support_ticket,2024-04-03,positive,204
act_00351,ten_047,qbr_completed,2024-06-26,neutral,120
act_00352,ten_047,email_sent,2024-01-09,no_response,289
act_00353,ten_047,email_sent,2024-04-27,neutral,180
act_00354,ten_047,email_sent,2024-01-03,no_response,295
act_00355,ten_048,email_sent,2024-02-21,negative,36
act_00356,ten_048,email_sent,2024-03-23,no_response,5
act_00357,ten_048,email_sent,2024-03-04,neutral,24
act_00358,ten_048,support_ticket,2024-02-01,neutral,56
act_00359,ten_049,call_completed,2024-01-22,neutral,81
act_00360,ten_049,email_sent,2024-06-30,positive,-79
act_00361,ten_049,support_ticket,2024-03-01,neutral,42
act_00362,ten_049,support_ticket,2024-03-12,neutral,31
act_00363,ten_049,email_sent,2024-04-16,positive,-4
act_00364,ten_050,email_sent,2024-02-04,neutral,200
act_00365,ten_050,support_ticket,2024-05-15,neutral,99
act_00366,ten_050,call_completed,2024-03-22,no_response,153
act_00367,ten_050,email_sent,2024-01-20,negative,215
act_00368,ten_050,qbr_completed,2024-05-07,negative,107
act_00369,ten_050,qbr_completed,2024-03-29,negative,146
act_00370,ten_050,meeting_held,2024-02-24,neutral,180
act_00371,ten_050,meeting_held,2024-01-12,negative,223
act_00372,ten_050,meeting_held,2024-03-26,no_response,149
act_00373,ten_050,email_sent,2024-05-27,no_response,87
act_00374,ten_050,email_sent,2024-03-07,neutral,168
act_00375,ten_050,qbr_completed,2024-01-27,positive,208
act_00376,ten_051,call_completed,2024-06-12,neutral,173
act_00377,ten_051,meeting_held,2024-02-14,no_response,292
act_00378,ten_051,meeting_held,2024-02-16,positive,290
act_00379,ten_051,qbr_completed,2024-05-26,positive,190
act_00380,ten_051,meeting_held,2024-06-06,no_response,179
act_00381,ten_051,qbr_completed,2024-01-07,positive,330
act_00382,ten_052,meeting_held,2024-02-29,positive,207
act_00383,ten_052,qbr_completed,2024-01-05,positive,262
act_00384,ten_052,call_completed,2024-04-14,neutral,162
act_00385,ten_052,call_completed,2024-04-02,positive,174
act_00386,ten_052,support_ticket,2024-02-20,positive,216
act_00387,ten_052,qbr_completed,2024-05-26,positive,120
act_00388,ten_053,meeting_held,2024-06-11,neutral,180
act_00389,ten_053,email_sent,2024-04-02,negative,250
act_00390,ten_053,meeting_held,2024-02-01,no_response,311
act_00391,ten_053,email_sent,2024-02-07,neutral,305
act_00392,ten_053,support_ticket,2024-05-24,positive,198
act_00393,ten_053,qbr_completed,2024-04-13,neutral,239
act_00394,ten_053,qbr_completed,2024-08-31,no_response,99
act_00395,ten_053,support_ticket,2024-02-09,negative,303
act_00396,ten_053,call_completed,2024-07-24,neutral,137
act_00397,ten_053,support_ticket,2024-04-19,negative,233
act_00398,ten_054,meeting_held,2024-01-29,neutral,54
act_00399,ten_054,email_sent,2024-03-05,positive,18
act_00400,ten_054,email_sent,2024-06-26,positive,-95
act_00401,ten_054,meeting_held,2024-05-12,no_response,-50
act_00402,ten_054,support_ticket,2024-04-05,neutral,-13
act_00403,ten_054,email_sent,2024-02-06,positive,46
act_00404,ten_054,call_completed,2024-03-20,positive,3
act_00405,ten_054,support_ticket,2024-03-01,neutral,22
act_00406,ten_054,support_ticket,2024-05-12,positive,-50
act_00407,ten_054,support_ticket,2024-03-04,positive,19
act_00408,ten_054,support_ticket,2024-06-03,neutral,-72
act_00409,ten_054,support_ticket,2024-02-13,positive,39
act_00410,ten_054,call_completed,2024-03-14,positive,9
act_00411,ten_054,support_ticket,2024-06-15,no_response,-84
act_00412,ten_054,call_completed,2024-01-18,neutral,65
act_00413,ten_054,email_sent,2024-05-28,neutral,-66
act_00414,ten_054,support_ticket,2024-06-20,positive,-89
act_00415,ten_054,meeting_held,2024-02-20,positive,32
act_00416,ten_054,email_sent,2024-04-23,neutral,-31
act_00417,ten_055,qbr_completed,2024-01-06,neutral,262
act_00418,ten_055,email_sent,2024-06-10,neutral,106
act_00419,ten_055,call_completed,2024-04-08,neutral,169
act_00420,ten_055,qbr_completed,2024-03-06,positive,202
act_00421,ten_055,call_completed,2024-03-09,positive,199
act_00422,ten_055,call_completed,2024-02-06,positive,231
act_00423,ten_055,support_ticket,2024-01-13,no_response,255
act_00424,ten_055,email_sent,2024-02-09,positive,228
act_00425,ten_055,call_completed,2024-05-17,positive,130
act_00426,ten_055,call_completed,2024-04-05,negative,172
act_00427,ten_055,meeting_held,2024-05-30,neutral,117
act_00428,ten_055,email_sent,2024-01-26,positive,242
act_00429,ten_055,call_completed,2024-01-21,positive,247
act_00430,ten_055,qbr_completed,2024-06-11,positive,105
act_00431,ten_055,qbr_completed,2024-06-14,neutral,102
act_00432,ten_055,call_completed,2024-01-08,positive,260
act_00433,ten_056,call_completed,2024-01-12,neutral,161
act_00434,ten_056,support_ticket,2024-01-29,no_response,144
act_00435,ten_056,email_sent,2024-05-22,positive,30
act_00436,ten_056,email_sent,2024-05-10,neutral,42
act_00437,ten_056,support_ticket,2024-03-30,positive,83
act_00438,ten_056,call_completed,2024-04-16,negative,66
act_00439,ten_056,support_ticket,2024-05-20,negative,32
act_00440,ten_056,qbr_completed,2024-02-09,positive,133
act_00441,ten_056,meeting_held,2024-03-17,neutral,96
act_00442,ten_056,email_sent,2024-02-25,neutral,117
act_00443,ten_056,call_completed,2024-01-28,neutral,145
act_00444,ten_057,qbr_completed,2024-04-05,positive,15
act_00445,ten_057,qbr_completed,2024-02-17,neutral,63
act_00446,ten_057,call_completed,2024-01-14,neutral,97
act_00447,ten_057,call_completed,2024-02-04,positive,76
act_00448,ten_057,support_ticket,2024-04-10,neutral,10
act_00449,ten_058,support_ticket,2024-01-23,positive,194
act_00450,ten_058,call_completed,2024-01-11,neutral,206
act_00451,ten_058,email_sent,2024-03-24,no_response,133
act_00452,ten_058,support_ticket,2024-02-25,no_response,161
act_00453,ten_058,meeting_held,2024-02-10,neutral,176
act_00454,ten_058,email_sent,2024-01-08,neutral,209
act_00455,ten_059,support_ticket,2024-02-05,neutral,118
act_00456,ten_059,support_ticket,2024-04-14,positive,49
act_00457,ten_059,meeting_held,2024-05-19,neutral,14
act_00458,ten_059,support_ticket,2024-05-03,neutral,30
act_00459,ten_059,email_sent,2024-06-30,neutral,-28
act_00460,ten_059,email_sent,2024-04-18,positive,45
act_00461,ten_059,support_ticket,2024-03-15,neutral,79
act_00462,ten_059,call_completed,2024-05-24,no_response,9
act_00463,ten_059,qbr_completed,2024-03-07,positive,87
act_00464,ten_060,email_sent,2024-03-08,positive,182
act_00465,ten_060,call_completed,2024-04-13,positive,146
act_00466,ten_060,meeting_held,2024-01-24,neutral,226
act_00467,ten_060,support_ticket,2024-04-26,positive,133
act_00468,ten_060,email_sent,2024-03-17,positive,173
act_00469,ten_060,call_completed,2024-06-06,neutral,92
act_00470,ten_060,qbr_completed,2024-04-17,positive,142
act_00471,ten_061,call_completed,2024-05-25,positive,-79
act_00472,ten_061,support_ticket,2024-01-12,positive,55
act_00473,ten_061,call_completed,2024-02-20,neutral,16
act_00474,ten_061,email_sent,2024-03-23,no_response,-16
act_00475,ten_061,support_ticket,2024-03-17,neutral,-10
act_00476,ten_061,meeting_held,2024-06-06,positive,-91
act_00477,ten_062,qbr_completed,2024-06-06,negative,80
act_00478,ten_062,qbr_completed,2024-06-02,positive,84
act_00479,ten_062,meeting_held,2024-03-12,positive,166
act_00480,ten_062,meeting_held,2024-01-29,positive,209
act_00481,ten_062,meeting_held,2024-04-23,neutral,124
act_00482,ten_062,qbr_completed,2024-01-18,positive,220
act_00483,ten_063,support_ticket,2024-03-05,positive,131
act_00484,ten_063,meeting_held,2024-02-16,positive,149
act_00485,ten_063,meeting_held,2024-01-03,neutral,193
act_00486,ten_063,email_sent,2024-04-11,positive,94
act_00487,ten_063,qbr_completed,2024-06-16,neutral,28
act_00488,ten_063,email_sent,2024-04-08,positive,97
act_00489,ten_063,email_sent,2024-04-28,neutral,77
